time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
20:43:51:421,-0.1907,-0.0099,0.1102,0.221
20:43:51:427,-0.1796,-0.0308,0.1100,0.213
20:43:51:432,-0.1807,-0.0350,0.0953,0.207
20:43:51:436,-0.1272,-0.0463,0.0566,0.147
20:43:51:443,-0.0790,-0.0740,0.0342,0.113
20:43:51:447,-0.0027,-0.0871,0.0017,0.087
20:43:51:457,-0.0767,-0.0621,0.0097,0.099
20:43:51:458,-0.1121,-0.0611,0.0318,0.132
20:43:51:465,-0.0902,-0.0625,0.0280,0.113
20:43:51:466,-0.0731,-0.0614,0.0100,0.096
20:43:51:471,-0.0608,-0.0649,0.0090,0.089
20:43:51:475,-0.0604,-0.0635,0.0103,0.088
20:43:51:481,-0.0861,-0.0360,0.0140,0.094
20:43:51:488,-0.0997,0.0102,0.0318,0.105
20:43:51:493,-0.1133,0.0015,0.0352,0.119
20:43:51:495,-0.1243,-0.0118,0.0432,0.132
20:43:51:502,-0.1448,0.0033,0.0629,0.158
20:43:51:505,-0.1344,0.0063,0.0919,0.163
20:43:51:511,-0.1290,-0.0074,0.0944,0.160
20:43:51:514,0.0377,-0.0281,0.0535,0.071
20:43:51:521,-0.0202,-0.0059,0.0625,0.066
20:43:51:525,-0.1109,-0.0008,0.1120,0.158
20:43:51:530,-0.1083,-0.0030,0.0905,0.141
20:43:51:535,-0.0416,0.0043,0.0245,0.049
20:43:51:541,0.0198,-0.0098,-0.0338,0.040
20:43:51:545,0.0262,-0.0213,-0.0799,0.087
20:43:51:550,0.0468,-0.0135,-0.1142,0.124
20:43:51:554,0.0530,-0.0152,-0.1057,0.119
20:43:51:559,0.0496,-0.0097,-0.0952,0.108
20:43:51:567,0.0677,0.0148,-0.0684,0.097
20:43:51:579,0.0595,0.0274,-0.0230,0.069
20:43:51:580,0.0656,0.0209,0.0006,0.069
20:43:51:580,0.1262,0.0384,0.0258,0.134
20:43:51:584,0.1888,0.0466,0.0122,0.195
20:43:51:589,0.1155,0.0333,0.0578,0.133
20:43:51:595,0.0024,0.0269,0.0914,0.095
20:43:51:597,-0.0481,0.0464,0.1304,0.146
20:43:51:604,-0.0151,0.0442,0.1008,0.111
20:43:51:608,-0.0109,0.0751,0.0505,0.091
20:43:51:613,0.0076,0.0845,-0.0042,0.085
