time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
21:06:06:413,0.1196,0.0613,0.0043,0.134
21:06:06:416,0.0794,0.0435,0.0192,0.093
21:06:06:422,0.0399,0.0355,0.0455,0.070
21:06:06:430,0.0438,0.0203,0.0789,0.092
21:06:06:432,0.0529,-0.0068,0.1264,0.137
21:06:06:445,0.0312,-0.0338,0.1218,0.130
21:06:06:446,0.0098,-0.0369,0.1153,0.121
21:06:06:447,-0.0090,-0.0497,0.1022,0.114
21:06:06:451,-0.0279,-0.0364,0.1326,0.140
21:06:06:455,-0.0540,-0.0377,0.1064,0.125
21:06:06:461,-0.0138,-0.0248,0.0433,0.052
21:06:06:466,-0.0572,-0.0407,-0.0138,0.072
21:06:06:471,-0.0579,-0.0495,-0.0532,0.093
21:06:06:477,-0.0445,-0.0513,-0.0704,0.098
21:06:06:484,-0.0243,-0.0602,-0.1133,0.131
21:06:06:484,-0.0187,-0.0453,-0.1650,0.172
21:06:06:496,0.0012,-0.0282,-0.2161,0.218
21:06:06:498,-0.0123,-0.0398,-0.2809,0.284
21:06:06:504,-0.0187,-0.0418,-0.3000,0.303
21:06:06:508,-0.0131,-0.0366,-0.2692,0.272
21:06:06:512,0.0138,-0.0219,-0.1989,0.201
21:06:06:517,0.0482,0.0095,-0.1177,0.128
21:06:06:521,0.0541,0.0050,-0.0900,0.105
21:06:06:527,0.0245,0.0269,-0.1222,0.127
21:06:06:529,-0.0286,0.0201,-0.1448,0.149
21:06:06:536,-0.0932,0.0301,-0.1200,0.155
21:06:06:551,-0.1481,0.0448,-0.0694,0.170
21:06:06:552,-0.1980,0.0523,-0.0051,0.205
21:06:06:552,-0.2337,0.0646,0.0419,0.246
21:06:06:556,-0.2218,0.0389,0.0955,0.245
21:06:06:558,-0.2077,0.0799,0.1748,0.283
21:06:06:567,-0.1748,0.0778,0.2486,0.314
21:06:06:567,-0.1848,0.0804,0.2317,0.307
21:06:06:574,-0.1590,0.1068,0.2411,0.308
21:06:06:578,-0.1258,0.1068,0.2622,0.310
21:06:06:584,-0.0783,0.1399,0.2713,0.315
21:06:06:588,-0.0379,0.1537,0.2735,0.316
21:06:06:593,-0.0496,0.1388,0.2260,0.270
21:06:06:597,-0.0492,0.1097,0.1864,0.222
21:06:06:603,-0.0440,0.0380,0.1237,0.137
21:06:06:608,-0.0365,-0.0307,0.0877,0.100
21:06:06:613,-0.0434,-0.0609,0.0735,0.105
21:06:06:617,-0.0363,-0.1121,0.0782,0.141
21:06:06:622,-0.0295,-0.1153,0.0850,0.146
21:06:06:628,-0.0135,-0.1208,0.0488,0.131
21:06:06:638,-0.0315,-0.1451,-0.0182,0.150
21:06:06:639,-0.0358,-0.1548,-0.0682,0.173
21:06:06:642,-0.0218,-0.1596,-0.1013,0.190
21:06:06:656,0.0033,-0.1381,-0.1320,0.191
21:06:06:657,0.0373,-0.0977,-0.1294,0.166
21:06:06:657,0.0614,-0.0362,-0.1106,0.132
21:06:06:662,0.0901,0.0273,-0.0780,0.122
21:06:06:667,0.1212,0.0760,-0.0885,0.168
21:06:06:671,0.1118,0.0958,-0.0825,0.169
21:06:06:676,0.0837,0.1416,-0.0743,0.180
21:06:06:682,0.0604,0.1396,-0.0660,0.166
21:06:06:687,0.0062,0.1161,-0.0361,0.122
21:06:06:691,-0.0173,0.0881,0.0246,0.093
21:06:06:696,-0.0364,0.0888,0.0424,0.105
21:06:06:701,-0.0322,0.0895,0.0770,0.122
21:06:06:706,-0.0333,0.0711,0.0834,0.115
21:06:06:711,-0.0040,0.0243,0.0783,0.082
21:06:06:716,-0.0083,-0.0009,0.0595,0.060
21:06:06:722,0.0042,-0.0212,0.0532,0.057
21:06:06:725,0.0120,-0.0581,0.0826,0.102
21:06:06:741,0.0129,-0.0780,0.1166,0.141
21:06:06:742,-0.0478,-0.1121,0.1434,0.188
21:06:06:743,-0.0577,-0.1578,0.1512,0.226
21:06:06:745,-0.1053,-0.1771,0.1422,0.250
21:06:06:757,-0.1407,-0.1582,0.1046,0.236
21:06:06:758,-0.1737,-0.1464,0.0670,0.237
21:06:06:759,-0.1545,-0.1416,0.0147,0.210
21:06:06:765,-0.2000,-0.0868,-0.0591,0.226
21:06:06:770,-0.2005,-0.0441,-0.1166,0.236
21:06:06:775,-0.1919,0.0793,-0.1676,0.267
21:06:06:779,-0.1649,0.1735,-0.1954,0.309
21:06:06:784,-0.1217,0.2434,-0.1788,0.326
21:06:06:790,-0.0764,0.3319,-0.1039,0.356
21:06:06:794,-0.0289,0.3866,0.0100,0.388
21:06:06:799,0.0281,0.4907,0.0991,0.501
21:06:06:804,0.0447,0.5630,0.1306,0.580
21:06:06:809,0.0688,0.6226,0.1649,0.648
21:06:06:814,0.0646,0.6411,0.1762,0.668
21:06:06:817,0.0964,0.6520,0.1838,0.684
21:06:06:824,0.0928,0.6458,0.2259,0.690
21:06:06:828,0.1327,0.5776,0.2357,0.638
21:06:06:838,0.1658,0.5048,0.2062,0.570
21:06:06:839,0.1662,0.4394,0.1922,0.508
21:06:06:843,0.1504,0.3482,0.1483,0.407
21:06:06:856,0.1352,0.2861,0.0721,0.325
21:06:06:857,0.0867,0.2101,-0.0244,0.229
21:06:06:858,0.0931,0.1135,-0.1200,0.190
21:06:06:861,0.0396,-0.0108,-0.1743,0.179
21:06:06:869,0.0025,-0.1008,-0.2021,0.226
21:06:06:872,-0.0065,-0.2088,-0.2041,0.292
21:06:06:877,-0.0352,-0.2610,-0.2351,0.353
21:06:06:882,-0.0171,-0.2699,-0.2856,0.393
21:06:06:887,-0.0217,-0.2546,-0.3292,0.417
21:06:06:892,-0.0106,-0.2702,-0.2874,0.395
21:06:06:895,-0.0146,-0.2450,-0.2012,0.317
21:06:06:903,0.0091,-0.1820,-0.1729,0.251
21:06:06:908,0.0343,-0.1313,-0.1663,0.215
21:06:06:912,0.0254,-0.0667,-0.1525,0.168
21:06:06:916,0.0371,-0.0098,-0.1217,0.128
21:06:06:922,0.0717,0.0253,-0.0813,0.111
21:06:06:927,0.0936,0.0458,-0.0216,0.106
21:06:06:941,0.1029,0.0802,0.0242,0.133
21:06:06:942,0.1071,0.0668,0.0444,0.134
21:06:06:942,0.1349,0.0485,0.0417,0.149
21:06:06:948,0.1294,0.0420,0.0516,0.146
21:06:06:958,0.1242,0.0140,0.0503,0.135
21:06:06:959,0.0980,-0.0661,0.0783,0.142
21:06:06:961,0.0725,-0.1267,0.0757,0.164
21:06:06:965,0.0427,-0.1584,0.0735,0.180
21:06:06:970,0.0229,-0.1639,0.0576,0.175
21:06:06:976,0.0151,-0.1290,0.0636,0.145
21:06:06:978,-0.0377,-0.1182,0.0580,0.137
21:06:06:985,-0.0642,-0.0791,0.0313,0.107
21:06:06:989,-0.0910,-0.0616,-0.0423,0.118
21:06:06:994,-0.1038,-0.0323,-0.0938,0.144
21:06:06:999,-0.1149,-0.0008,-0.1044,0.155
21:06:07:004,-0.1528,0.0520,-0.1244,0.204
21:06:07:010,-0.1222,0.0711,-0.1298,0.192
21:06:07:014,-0.0780,0.0760,-0.1399,0.177
21:06:07:018,-0.0105,0.0903,-0.1498,0.175
21:06:07:023,0.0521,0.0784,-0.1311,0.161
21:06:07:029,0.0863,0.0973,-0.1292,0.183
21:06:07:034,0.0785,0.0947,-0.0657,0.139
21:06:07:053,0.0668,0.0636,-0.0170,0.094
21:06:07:054,-0.0010,-0.0052,0.0168,0.018
21:06:07:054,-0.0655,-0.0094,0.0073,0.067
21:06:07:055,-0.1054,-0.0705,0.0144,0.128
21:06:07:071,-0.1377,-0.1026,0.0236,0.173
21:06:07:072,-0.1697,-0.1652,0.0422,0.241
21:06:07:072,-0.1754,-0.1869,0.0274,0.258
